name,year_start,year_end,position,height(in),weight,birth_date,college
Pat Riley,1968,1976,G-F,76,205,20-Mar-45,University of Kentucky
Patricio Garino,2017,2017,G-F,78,210,17-May-93,George Washington University
Patrick Beverley,2013,2018,G,73,185,12-Jul-88,University of Arkansas
Patrick Christopher,2015,2015,G-F,77,209,3-Jun-88,University of California
Patrick Eddie,1992,1992,C,83,240,27-Dec-67,University of Mississippi
Patrick Ewing,1986,2002,C-F,85,240,5-Aug-62,Georgetown University
Patrick Ewing,2011,2011,F,80,235,20-May-84,Georgetown University
Patrick McCaw,2017,2018,G,79,185,25-Oct-95,"University of Nevada, Las Vegas"
Patrick McFarland,1974,1976,F-G,77,185,7-Dec-51,Saint Joseph's University
Patrick O'Bryant,2007,2010,C,85,260,20-Jun-86,Bradley University
Patrick Patterson,2011,2018,F,81,230,14-Mar-89,University of Kentucky
Patty Mills,2010,2018,G,73,185,11-Aug-88,Saint Mary's College of California
Pau Gasol,2002,2018,F-C,85,250,6-Jul-80,
Paul Arizin,1951,1962,F-G,76,190,9-Apr-28,Villanova University
Paul Cloyd,1950,1950,G-F,74,180,13-Jun-20,University of Wisconsin
Paul Davis,2007,2010,C,83,270,21-Jul-84,Michigan State University
Paul Dawkins,1980,1980,F,77,190,10-Jun-57,Northern Illinois University
Paul George,2011,2018,F,81,220,2-May-90,"California State University, Fresno"
Paul Gordon,1950,1950,F,75,185,8-Apr-27,University of Notre Dame
Paul Graham,1992,1994,F-G,78,200,28-Nov-67,Ohio University
Paul Grant,1999,2004,C,85,245,6-Jan-74,University of Wisconsin
Paul Griffin,1977,1983,F-C,81,205,20-Jan-54,Western Michigan University
Paul Hoffman,1948,1955,G-F,74,195,12-Apr-25,Purdue University
Paul Hogue,1963,1964,C,81,240,28-Apr-40,University of Cincinnati
Paul Huston,1948,1948,F,75,175,2-Jun-25,Ohio State University
Paul Long,1968,1971,G,74,180,8-Feb-44,Wake Forest University
Paul McCracken,1973,1977,G,76,180,11-Sep-50,"California State University, Northridge"
Paul McPherson,2001,2001,G,76,210,3-Jul-78,DePaul University
Paul Millsap,2007,2018,F,80,246,10-Feb-85,Louisiana Tech University
Paul Mokeski,1980,1991,C-F,85,250,3-Jan-57,University of Kansas
Paul Napolitano,1949,1949,F-G,74,185,3-Feb-23,University of San Francisco
Paul Neumann,1962,1967,G,73,175,30-Jan-38,Stanford University
Paul Noel,1948,1952,F,76,185,17-Aug-24,University of Kentucky
Paul Nolen,1954,1954,C,82,,3-Sep-29,Texas Tech University
Paul Pierce,1999,2017,F-G,79,235,13-Oct-77,University of Kansas
Paul Pressey,1983,1993,G-F,77,185,24-Dec-58,University of Tulsa
Paul Ruffner,1971,1976,C-F,82,225,15-Oct-48,Brigham Young University
Paul Scranton,1968,1968,F,77,230,30-Apr-44,"California State Polytechnic University, Pomona"
Paul Seymour,1948,1960,G-F,73,180,30-Jan-28,University of Toledo
Paul Shirley,2003,2005,F-C,82,230,23-Dec-77,Iowa State University
Paul Silas,1965,1980,F-C,79,220,12-Jul-43,Creighton University
Paul Stovall,1973,1974,F,76,215,16-Aug-48,Arizona State University
Paul Thompson,1984,1986,G-F,78,210,25-May-61,Tulane University
Paul Walther,1950,1955,G-F,74,160,23-Mar-27,University of Tennessee
Paul Westphal,1973,1984,G,76,195,30-Nov-50,University of Southern California
Paul Zipser,2017,2018,G-F,80,215,18-Feb-94,
Pavel Podkolzin,2005,2006,C,89,260,15-Jan-85,
Pearl Washington,1987,1989,G,74,190,6-Jan-64,Syracuse University
Peja Stojakovic,1999,2011,F-G,81,220,9-Jun-77,
Penny Early,1969,1969,G,63,114,30-May-43,
Pep Saul,1950,1955,G-F,74,185,16-Feb-24,Seton Hall University
Pepe Sanchez,2001,2003,G,76,195,8-May-77,Temple University
Pero Antic,2014,2015,C-F,83,260,29-Jul-82,
Perry Jones,2013,2015,F,83,235,24-Sep-91,Baylor University
Perry Moss,1986,1987,G,74,185,11-Nov-58,Northeastern University
Perry Warbington,1975,1975,G,74,165,7-Sep-52,Georgia Southern University
Perry Young,1987,1987,G,77,210,4-Aug-63,Virginia Polytechnic Institute and State University
Pervis Ellison,1990,2001,F-C,81,210,3-Apr-67,University of Louisville
Pete Brennan,1959,1959,F,78,205,23-Sep-36,University of North Carolina
Pete Chilcutt,1992,2000,F-C,82,230,14-Sep-68,University of North Carolina
Pete Cross,1971,1973,C-F,81,230,28-Mar-48,University of San Francisco
Pete Darcey,1953,1953,C,79,217,3-Mar-30,Oklahoma State University
Pete Lalich,1947,1947,F,74,190,23-Jun-20,Ohio University
Pete Maravich,1971,1980,G,77,197,22-Jun-47,Louisiana State University
Pete Myers,1987,1998,G-F,78,180,15-Sep-63,University of Arkansas at Little Rock
Pete Smith,1973,1973,F,78,205,,Valdosta State University
Pete Verhoeven,1982,1987,F,81,215,15-Feb-59,"California State University, Fresno"
Pete Williams,1986,1987,F,79,190,10-Mar-65,University of Arizona
Peter Aluma,1999,1999,C,82,260,23-Apr-73,Liberty University
Peter John Ramos,2005,2005,C,87,275,13-May-85,
Peter Thibeaux,1985,1986,F,79,210,3-Oct-61,Saint Mary's College of California
Petey Rosenberg,1947,1947,G,70,165,7-Apr-18,Saint Joseph's University
Petur Gudmundsson,1982,1989,C,86,260,30-Oct-58,University of Washington
Peyton Siva,2014,2014,G,73,185,24-Oct-90,University of Louisville
Phil Bond,1978,1978,G,74,175,27-Jul-54,University of Louisville
Phil Chenier,1972,1981,G,75,180,30-Oct-50,University of California
Phil Farbman,1949,1949,F,73,185,3-Apr-24,City College of New York
Phil Ford,1979,1985,G,74,175,9-Feb-56,University of North Carolina
Phil Hankinson,1974,1975,F,80,195,26-Jul-51,University of Pennsylvania
Phil Hicks,1977,1979,F,79,205,31-Jan-53,Tulane University
Phil Hubbard,1980,1989,F-C,80,215,13-Dec-56,University of Michigan
Phil Jackson,1968,1980,F-C,80,220,17-Sep-45,University of North Dakota
Phil Jordon,1957,1963,C-F,82,205,12-Sep-33,Whitworth
Phil Lumpkin,1975,1976,G,73,165,20-Dec-51,Miami University
Phil Martin,1955,1955,G,75,190,2-Apr-28,University of Toledo
Phil Pressey,2014,2016,G,71,175,17-Feb-91,University of Missouri
Phil Rollins,1959,1961,G,74,185,19-Jan-34,University of Louisville
Phil Sellers,1977,1977,F-G,76,195,20-Nov-53,Rutgers University
Phil Smith,1975,1983,G,76,185,22-Apr-52,University of San Francisco
Phil Walker,1978,1978,G,75,180,20-Mar-56,Millersville University of Pennsylvania
Phil Zevenbergen,1988,1988,C,82,230,13-Apr-64,University of Washington
Phillip Wagner,1969,1969,G,74,190,18-Dec-45,Georgia Institute of Technology
Pickles Kennedy,1961,1961,G,71,180,17-May-38,Temple University
Pierre Jackson,2017,2017,G,70,180,29-Aug-91,Baylor University
Pierre Russell,1972,1973,F-G,76,190,13-Dec-49,University of Kansas
pj tucker,2007,2018,F,78,245,5-May-85,University of Texas at Austin
Plummer Lott,1968,1969,F-G,77,210,11-Dec-45,Seattle University
Pooh Richardson,1990,1999,G,73,180,14-May-66,"University of California, Los Angeles"
Pop Goodwin,1947,1948,F-C,74,203,22-Dec-20,
Popeye Jones,1994,2004,F,80,250,17-Jun-70,Murray State University
Pops Mensah-Bonsu,2007,2011,F,81,240,7-Sep-83,George Washington University
Porter Meriwether,1963,1963,G,74,180,16-Mar-40,Tennessee State University
Predrag Drobnjak,2002,2005,C,83,270,27-Oct-75,
Predrag Savovic,2003,2003,G,78,225,21-May-76,University of Hawaii
Press Maravich,1947,1947,G,73,185,20-Aug-20,Davis & Elkins College
Price Brookfield,1949,1950,F-G,76,185,11-May-20,West Texas A&M University
Priest Lauderdale,1997,1998,C,88,325,31-Aug-73,Central State University
Primoz Brezec,2002,2010,C,86,252,2-Oct-79,
Purvis Short,1979,1990,F-G,79,210,2-Jul-57,Jackson State University
Quentin Richardson,2001,2013,G,78,223,13-Apr-80,DePaul University
Quincy Acy,2013,2018,F,79,240,6-Oct-90,Baylor University
Quincy Douby,2007,2009,G,75,175,16-May-84,Rutgers University
Quincy Lewis,2000,2004,F,79,215,26-Jun-77,University of Minnesota
Quincy Miller,2013,2015,F,81,210,18-Nov-92,Baylor University
Quincy Pondexter,2011,2018,G-F,79,220,10-Mar-88,University of Washington
Quinn Buckner,1977,1986,G,75,190,20-Aug-54,Indiana University
Quinn Cook,2017,2018,G,74,184,23-Mar-93,Duke University
Quintin Dailey,1983,1992,G,75,180,22-Jan-61,University of San Francisco
Quinton Ross,2005,2011,G,78,195,30-Apr-81,Southern Methodist University
Qyntel Woods,2003,2006,F,80,221,16-Feb-81,Northeast Mississippi Community College
R.B. Lynam,1968,1968,G,73,190,,Oklahoma Baptist University
R.J. Hunter,2016,2017,G,77,185,24-Oct-93,Georgia State University
Radisav Curcic,1993,1993,C,82,275,26-Sep-65,
Raef LaFrentz,1999,2008,F-C,83,240,29-May-76,University of Kansas
Rafael Addison,1987,1997,F-G,79,215,22-Jul-64,Syracuse University
Rafael Araujo,2005,2007,C,83,280,12-Aug-80,Brigham Young University
Rafer Alston,2000,2010,G,74,171,24-Jul-76,"California State University, Fresno"
Raja Bell,2001,2012,G,77,204,19-Sep-76,Florida International University
Rajon Rondo,2007,2018,G,73,186,22-Feb-86,University of Kentucky
Rakeem Christmas,2016,2017,F,81,250,1-Dec-91,Syracuse University
Ralph Beard,1950,1951,G,70,175,2-Dec-27,University of Kentucky
Ralph Davis,1961,1962,G,76,180,7-Sep-38,University of Cincinnati
Ralph Drollinger,1981,1981,C,86,250,20-Apr-54,"University of California, Los Angeles"
Ralph Hamilton,1949,1949,G-F,73,188,10-Jun-21,Indiana University
Ralph Jackson,1985,1985,G,74,190,26-Oct-62,"University of California, Los Angeles"
Ralph Johnson,1950,1953,G,71,170,6-Dec-21,Huntington University
Ralph Kaplowitz,1947,1948,G-F,74,170,18-May-19,New York University
Ralph Lewis,1988,1990,G,78,200,28-Mar-63,La Salle University
Ralph O'Brien,1952,1953,G,69,160,8-Apr-28,Butler University
Ralph Ogden,1971,1971,F,77,205,25-Jan-48,Santa Clara University
Ralph Polson,1953,1953,F-C,79,200,26-Oct-29,Whitworth
Ralph Sampson,1984,1992,C-F,88,228,7-Jul-60,University of Virginia
Ralph Siewert,1947,1947,C,85,230,31-Dec-23,Dakota Wesleyan University
Ralph Simpson,1971,1980,G-F,77,200,10-Aug-49,Michigan State University
Ralph Wells,1963,1963,G,73,180,3-Sep-40,Northwestern University
Ramon Rivas,1989,1989,F-C,82,260,3-Jun-66,Temple University
Ramon Sessions,2008,2018,G,75,190,11-Apr-86,"University of Nevada, Reno"
Randell Jackson,1999,2000,F,83,215,16-Jan-76,Florida State University
Randolph Childress,1996,1997,G,74,188,21-Sep-72,Wake Forest University
Randolph Keys,1989,1996,F-G,79,195,19-Apr-66,University of Southern Mississippi
Randolph Mahaffey,1968,1971,F,79,210,28-Sep-45,Clemson University
Randolph Morris,2007,2010,C,82,266,2-Jan-86,University of Kentucky
Randy Allen,1989,1990,F,80,220,26-Jan-65,Florida State University
Randy Breuer,1984,1994,C,87,230,11-Oct-60,University of Minnesota
Randy Brown,1992,2003,G,74,190,22-May-68,New Mexico State University
Randy Denton,1972,1977,C,82,240,18-Feb-49,Duke University
Randy Foye,2007,2017,G,76,213,24-Sep-83,Villanova University
Randy Holcomb,2006,2006,F,81,225,8-Aug-79,San Diego State University
Randy Livingston,1997,2007,G,76,209,2-Apr-75,Louisiana State University
Randy Smith,1972,1983,G-F,75,180,12-Dec-48,State University of New York College at Buffalo
Randy Stoll,1968,1968,C,79,235,,Washington State University
Randy White,1990,1994,F,80,240,4-Nov-67,Louisiana Tech University
Randy Wittman,1984,1992,G-F,78,210,28-Oct-59,Indiana University
Randy Woods,1993,1996,G,70,185,23-Sep-70,La Salle University
Rashad McCants,2006,2009,G,76,207,25-Sep-84,University of North Carolina
Rashad Vaughn,2016,2018,G,78,202,16-Aug-96,"University of Nevada, Las Vegas"
Rashard Lewis,1999,2014,F,82,215,8-Aug-79,
Rasheed Wallace,1996,2013,F-C,82,225,17-Sep-74,University of North Carolina
Rasho Nesterovic,1999,2010,C,85,248,30-May-76,
Rastko Cvetkovic,1996,1996,C,85,260,22-Jun-70,
Rasual Butler,2003,2016,F-G,79,215,23-May-79,La Salle University
Ratko Varda,2002,2002,C,85,260,6-May-79,
Raul Lopez,2004,2005,G,73,170,15-Apr-80,
Raul Neto,2016,2018,G,73,179,19-May-92,
Rawle Marshall,2006,2007,G-F,81,190,20-Feb-82,Oakland University
Ray Allen,1997,2014,G,77,205,20-Jul-75,University of Connecticut
Ray Blume,1982,1982,G,76,185,23-Sep-58,Oregon State University
Ray Corley,1950,1953,G,73,180,1-Jan-28,Georgetown University
Ray Ellefson,1949,1951,C,80,230,18-Nov-22,West Texas A&M University
Ray Epps,1979,1979,F,78,195,20-Aug-56,Norfolk State University
Ray Felix,1954,1962,C,83,220,10-Dec-30,Long Island University
Ray Kuka,1948,1949,F,75,200,17-Feb-22,University of Notre Dame
Ray Lumpp,1949,1953,G,73,178,11-Jul-23,New York University
Ray McCallum,2014,2016,G,75,190,12-Jun-91,University of Detroit Mercy
Ray Owes,1997,1997,F,81,224,11-Dec-72,University of Arizona
Ray Radziszewski,1958,1958,F,77,210,1-Mar-35,Saint Joseph's University
Ray Ragelis,1952,1952,F,76,205,10-Dec-28,Northwestern University
Ray Ramsey,1949,1949,G-F,74,165,18-Jul-21,Bradley University
Ray Scott,1962,1972,F-C,81,215,12-Jul-38,University of Portland
Ray Tolbert,1982,1989,F,81,225,10-Sep-58,Indiana University
Ray Wertis,1947,1948,G,71,,1-Jan-22,St. John's University
Ray Williams,1978,1987,G,75,188,14-Oct-54,University of Minnesota
Raymond Brown,1990,1990,F,80,220,5-Jul-65,University of Idaho
Raymond Felton,2006,2018,G,73,205,26-Jun-84,University of North Carolina
Raymond Townsend,1979,1982,G,75,175,20-Dec-55,"University of California, Los Angeles"
Red Davis,1956,1956,C,79,220,22-Apr-32,St. John's University
Red Dehnert,1947,1947,F,75,175,24-Jan-24,Columbia University
Red Holzman,1949,1954,G,70,175,10-Aug-20,City College of New York
Red Kerr,1955,1966,C-F,81,230,17-Jul-32,University of Illinois at Urbana-Champaign
Red Mihalik,1947,1947,G,73,180,22-Sep-16,
Red Morrison,1955,1958,F-C,80,220,26-Apr-32,University of Idaho
Red Owens,1950,1952,G-F,75,185,2-Sep-25,Baylor University
Red Robbins,1968,1975,F-C,80,190,30-Sep-44,University of Tennessee
Red Rocha,1948,1957,C-F,81,185,18-Sep-23,Oregon State University
Red Stroud,1968,1968,G,73,160,2-May-41,Mississippi State University
Red Wallace,1947,1947,G,73,185,12-Jul-18,University of Scranton
Reece Gaines,2004,2006,G,78,205,7-Jan-81,University of Louisville
Reggie Bullock,2014,2018,G-F,79,205,16-Mar-91,University of North Carolina
Reggie Carter,1981,1982,G,75,175,10-Oct-57,St. John's University
Reggie Evans,2003,2015,F,80,245,18-May-80,University of Iowa
Reggie Geary,1997,1998,G,74,187,31-Aug-73,University of Arizona
Reggie Hanson,1998,1998,F,80,195,6-Oct-68,University of Kentucky
Reggie Harding,1964,1968,C,85,249,4-May-42,
Reggie Jackson,2012,2018,G,75,208,16-Apr-90,Boston College
Reggie Johnson,1981,1984,F-C,81,205,25-Jun-57,University of Tennessee
Reggie Jordan,1994,2000,G,76,195,26-Jan-68,New Mexico State University
Reggie King,1980,1985,F,78,225,14-Feb-57,University of Alabama
Reggie Lacefield,1969,1969,G-F,77,230,10-Apr-45,Western Michigan University
Reggie Lewis,1988,1993,G-F,79,195,21-Nov-65,Northeastern University
Reggie Miller,1988,2005,G-F,79,185,24-Aug-65,"University of California, Los Angeles"
Reggie Royals,1975,1975,C,82,200,18-Sep-50,Florida State University
Reggie Slater,1995,2003,F,79,215,27-Aug-70,University of Wyoming
Reggie Smith,1993,1994,C,82,240,21-Aug-70,Texas Christian University
Reggie Theus,1979,1991,G,79,190,13-Oct-57,"University of Nevada, Las Vegas"
Reggie Williams (Older),1988,1997,F-G,79,190,5-Mar-64,Georgetown University
Reggie Williams,2010,2017,F,78,205,14-Sep-86,Virginia Military Institute
Renaldo Balkman,2007,2012,F,80,208,14-Jul-84,University of South Carolina
Renaldo Major,2007,2007,F,79,200,7-May-82,"California State University, Fresno"
Rex Chapman,1989,2000,G,76,185,5-Oct-67,University of Kentucky
Rex Morgan,1971,1972,G,77,190,27-Oct-48,Jacksonville University
Rex Walters,1994,2000,G,76,190,12-Mar-70,University of Kansas
Rich Dumas,1969,1969,G,75,170,,Northeastern State University
Rich Eichhorst,1962,1962,G,75,200,21-Oct-33,Southeast Missouri State University
Rich Johnson,1969,1971,C,79,210,18-Dec-46,Grambling State University
Rich Jones,1970,1977,F-C,78,220,27-Dec-46,University of Memphis
Rich Kelley,1976,1986,C-F,85,235,23-Mar-53,Stanford University
Rich King,1992,1995,C,86,260,4-Apr-69,University of Nebraska
Rich Laurel,1978,1978,G,78,190,11-Jul-54,Hofstra University
Rich Manning,1996,1997,C,83,253,23-Jun-70,University of Washington
Rich Niemann,1969,1972,C,85,245,2-Jul-46,Saint Louis University
Rich Peek,1968,1968,C,83,230,28-Oct-43,Louisiana Tech University
Rich Rinaldi,1972,1974,G,75,195,3-Aug-49,Saint Peter's College
Rich Yonakor,1982,1982,F,81,220,3-Oct-58,University of North Carolina
Richard Anderson,1983,1990,F-C,82,240,19-Nov-60,"University of California, Santa Barbara"
Richard Clark,1968,1969,G,76,190,5-Jan-44,Eastern Kentucky University
Richard Coffey,1991,1991,F,78,212,2-Sep-65,University of Minnesota
Richard Dumas,1993,1996,F,79,200,19-May-69,Oklahoma State University
Richard Fisher,1972,1972,F,77,215,27-Oct-48,Colorado State University
Richard Hamilton,2000,2013,G-F,78,185,14-Feb-78,University of Connecticut
Richard Jefferson,2002,2018,F,79,233,21-Jun-80,University of Arizona
Richard Moore,1968,1968,G,74,190,,Hiram Scott College
Richard Morton,1989,1989,G,75,190,2-Feb-66,"California State University, Fullerton"
Richard Parks,1968,1968,F,79,235,28-Oct-43,Saint Louis University
Richard Petruska,1994,1994,C-F,82,260,25-Jan-69,"University of California, Los Angeles"
Richard Rellford,1988,1988,F,78,230,16-Feb-64,University of Michigan
Richard Washington,1977,1982,F-C,83,220,15-Jul-55,"University of California, Los Angeles"
Richaun Holmes,2016,2018,F-C,82,245,15-Oct-93,Bowling Green State University
Richie Frahm,2004,2008,G,77,210,14-Aug-77,Gonzaga University
Richie Guerin,1957,1970,G,76,195,29-May-32,Iona College
Richie Niemiera,1949,1950,G-F,73,165,26-May-21,University of Notre Dame
Richie Regan,1956,1958,G,74,180,30-Nov-30,Seton Hall University
Rick Adelman,1969,1975,G,73,175,16-Jun-46,Loyola Marymount University
Rick Barry,1966,1980,F,79,205,28-Mar-44,University of Miami
Rick Brunson,1998,2006,G,76,190,14-Jun-72,Temple University
Rick Calloway,1991,1991,F,78,180,12-Dec-66,University of Kansas
Rick Carlisle,1985,1990,G,77,210,27-Oct-59,University of Virginia
Rick Darnell,1976,1976,C-F,82,215,1-Jan-53,San Jose State University
Rick Fox,1992,2004,F-G,79,230,24-Jul-69,University of North Carolina
Rick Hughes,2000,2000,F,81,235,22-Aug-73,Thomas More College
Rick Mahorn,1981,1999,C-F,82,240,21-Sep-58,Hampton University
Rick Mount,1971,1975,G,75,175,5-Jan-47,Purdue University
Rick Roberson,1970,1976,C-F,81,231,7-Jul-47,University of Cincinnati
Rick Robey,1979,1986,C-F,83,230,30-Jan-56,University of Kentucky
Rick Weitzman,1968,1968,G,74,175,30-Apr-46,Northeastern University
Rick Wilson,1979,1980,G,77,200,7-Feb-56,University of Louisville
Rickey Brown,1981,1985,C-F,82,215,20-Aug-58,Mississippi State University
Rickey Green,1978,1992,G,73,170,18-Aug-54,University of Michigan
Rickey Williams,1983,1983,G,73,175,12-Mar-57,"California State University, Long Beach"
Rickie Winslow,1988,1988,F,80,225,26-Jul-64,University of Houston
Ricky Berry,1989,1989,F,80,205,6-Oct-64,San Jose State University
Ricky Blanton,1993,1993,F,79,215,21-Apr-66,Louisiana State University
Ricky Davis,1999,2010,G,78,195,23-Sep-79,University of Iowa
Ricky Grace,1994,1994,G,73,180,20-Aug-67,University of Oklahoma
Ricky Ledo,2014,2015,G,79,195,10-Sep-92,
Ricky Marsh,1978,1978,G,75,200,10-Mar-54,Manhattan College
Ricky Pierce,1983,1998,G,76,205,19-Aug-59,Rice University
Ricky Rubio,2012,2018,G,76,194,21-Oct-90,
Ricky Sobers,1976,1986,G,75,198,15-Jan-53,"University of Nevada, Las Vegas"
Ricky Wilson,1988,1988,G,75,195,16-Jul-64,George Mason University
Rik Smits,1989,2000,C,88,250,23-Aug-66,Marist College
Riney Lochmann,1968,1970,F,78,215,26-May-44,University of Kansas
Rob Kurz,2009,2009,F,81,232,5-Mar-85,University of Notre Dame
Rob Lock,1989,1989,F,81,225,22-May-66,University of Kentucky
Rob Rose,1989,1989,G,77,180,27-Dec-64,George Mason University
Rob Williams,1983,1984,G,74,175,5-May-61,University of Houston
Robbie Hummel,2014,2015,F,80,215,8-Mar-89,Purdue University
Robert Archibald,2003,2004,F,83,250,29-Mar-80,University of Illinois at Urbana-Champaign
Robert Churchwell,1996,1996,G-F,78,195,20-Feb-72,Georgetown University
Robert Covington,2014,2018,F,81,215,14-Dec-90,Tennessee State University
Robert Hahn,1950,1950,C,82,240,25-Aug-25,North Carolina State University
Robert Hawkins,1976,1979,G,76,190,30-Jun-54,Illinois State University
Robert Hite,2007,2007,G,74,184,12-Jan-84,University of Miami
Robert Horry,1993,2008,F,81,220,25-Aug-70,University of Alabama
Robert Pack,1992,2004,G,74,180,3-Feb-69,University of Southern California
Robert Parish,1977,1997,C,85,230,30-Aug-53,Centenary College of Louisiana
Robert Reid,1978,1991,F-G,80,205,30-Aug-55,St. Mary's University
Robert Sacre,2013,2016,C,85,270,6-Jun-89,Gonzaga University
Robert Smith,1978,1985,G,71,165,10-Mar-55,"University of Nevada, Las Vegas"
Robert Swift,2005,2009,C,85,245,3-Dec-85,
Robert Traylor,1999,2005,F,80,284,1-Feb-77,University of Michigan
Robert Werdann,1993,1997,C,83,250,12-Sep-70,St. John's University
Robert Whaley,2006,2006,C,82,260,16-Apr-82,Walsh University
Robin Jones,1977,1978,F-C,81,225,2-Feb-54,Saint Louis University
Robin Lopez,2009,2018,C,85,255,1-Apr-88,Stanford University
Rock Lee,1982,1982,C,82,220,1-May-55,San Diego State University
Rod Derline,1975,1976,G,73,175,11-Mar-52,Seattle University
Rod Foster,1984,1986,G,73,160,10-Oct-60,"University of California, Los Angeles"
Rod Freeman,1974,1974,F,79,225,5-Nov-50,Vanderbilt University
Rod Higgins,1983,1995,F,79,200,31-Jan-60,"California State University, Fresno"
Rod Knowles,1969,1969,F-C,81,215,27-Feb-46,Davidson College
Rod Strickland,1989,2005,G,75,175,11-Jul-66,DePaul University
Rod Thorn,1964,1971,G,76,195,23-May-41,West Virginia University
Roderick McDonald,1971,1973,F,78,205,9-Apr-45,Whitworth
Rodney Buford,2000,2005,G-F,77,189,2-Nov-77,Creighton University
Rodney Carney,2007,2011,F,79,205,15-Apr-84,University of Memphis
Rodney Hood,2015,2018,G-F,80,206,20-Oct-92,Duke University
Rodney McCray,1984,1993,F-G,79,220,29-Aug-61,University of Louisville
Rodney McGruder,2017,2017,G,76,205,29-Jul-91,Kansas State University
Rodney Monroe,1992,1992,G,75,185,16-Apr-68,North Carolina State University
Rodney Rogers,1994,2005,F,79,235,20-Jun-71,Wake Forest University
Rodney Stuckey,2008,2017,G,77,210,21-Apr-86,Eastern Washington University
Rodney White,2002,2005,F,81,238,28-Jun-80,University of North Carolina at Charlotte
Rodrick Rhodes,1998,2000,G-F,78,225,24-Sep-73,University of Southern California
Rodrigue Beaubois,2010,2013,G,73,170,24-Feb-88,
Roger Brown,1968,1975,F-G,77,205,22-May-42,University of Dayton
Roger Brown,1973,1980,C,83,225,23-Feb-50,University of Kansas
Roger Burkman,1982,1982,G,77,175,22-May-58,University of Louisville
Roger Jorgensen,1947,1947,C-F,77,200,2-Sep-20,Ohio State University
Roger Mason,2003,2014,G,77,200,10-Sep-80,University of Virginia
Roger Phegley,1979,1984,G-F,78,205,16-Oct-56,Bradley University
Roger Powell,2007,2007,F,78,235,15-Jan-83,University of Illinois at Urbana-Champaign
Roger Schurig,1968,1968,G,75,185,3-Apr-42,Vanderbilt University
Roger Strickland,1964,1964,F,77,200,4-Sep-40,Jacksonville University
Roko Ukic,2009,2010,G,77,183,12-May-84,
Roland West,1968,1968,G,76,178,6-Jun-44,University of Cincinnati
Rolando Blackman,1982,1994,G,78,190,26-Feb-59,Kansas State University
Rolando Ferreira,1989,1989,C,85,240,24-May-64,University of Houston
Rollen Hans,1954,1955,G,74,210,13-Apr-31,Long Island University
Rollie Seltz,1950,1950,G-F,70,165,25-Jan-24,Hamline University
Ron Anderson,1985,1994,F-G,79,215,15-Oct-58,"California State University, Fresno"
Ron Baker,2017,2018,G,76,220,30-Mar-93,Wichita State University
Ron Behagen,1974,1980,F-C,81,185,14-Jan-51,University of Minnesota
Ron Bonham,1965,1968,F,77,192,31-May-42,University of Cincinnati
Ron Boone,1969,1981,G-F,74,200,6-Sep-46,Idaho State University
Ron Brewer,1979,1986,G,76,180,16-Sep-55,University of Arkansas
Ron Carter,1979,1980,G,77,190,31-Aug-56,Virginia Military Institute
Ron Cavenall,1985,1989,C,85,230,30-Apr-59,Texas Southern University
Ron Crevier,1986,1986,C,85,235,14-Apr-58,Boston College
Ron Davis,1977,1982,G-F,78,198,1-May-54,Washington State University
Ron Dorsey,1972,1972,F,76,200,10-Oct-48,Tennessee State University
Ron Feiereisel,1956,1956,G,75,185,6-Aug-31,DePaul University
Ron Filipek,1968,1968,F,77,205,5-Feb-44,Tennessee Technological University
Ron Grandison,1989,1996,F,78,215,9-Jul-64,University of New Orleans
Ron Harper,1987,2001,G-F,78,185,20-Jan-64,Miami University
Ron Horn,1962,1968,F,79,220,24-May-38,Indiana University
Ron Johnson,1961,1961,F,80,215,20-Jul-38,University of Minnesota
Ron King,1974,1974,G,76,185,11-Jul-51,Florida State University
Ron Knight,1971,1972,F,79,215,4-Aug-47,"California State University, Los Angeles"
Ron Lee,1977,1982,G,76,193,2-Nov-52,University of Oregon
Ron Livingstone,1950,1951,C,82,220,9-Oct-25,University of Wyoming
Ron Mercer,1998,2005,G-F,79,210,18-May-76,University of Kentucky
Ron Moore,1988,1988,C,85,260,16-Jan-62,West Virginia State University
Ron Nelson,1971,1971,G,74,175,7-Oct-46,University of New Mexico
Ron Perry,1968,1970,G,75,190,29-Dec-43,Virginia Polytechnic Institute and State University
Ron Reed,1966,1967,F,77,205,2-Nov-42,University of Notre Dame
Ron Riley,1973,1976,F,80,195,11-Nov-50,University of Southern California
Ron Rowan,1987,1987,G,77,200,23-Apr-62,St. John's University
Ron Sanford,1972,1972,F,81,215,11-Jun-46,University of New Mexico
Ron Shavlik,1957,1958,F,80,200,4-Dec-33,North Carolina State University
Ron Sobie,1957,1960,G,75,185,21-Sep-34,DePaul University
Ron Watts,1966,1967,F,78,210,21-May-43,Wake Forest University
Ron Widby,1968,1968,F,76,210,9-Mar-45,University of Tennessee
Ron Williams,1969,1976,G,75,188,24-Sep-44,West Virginia University
Ronald Dupree,2004,2011,F,79,209,26-Jan-81,Louisiana State University
Ronald Franz,1968,1973,F,79,205,20-Oct-45,University of Kansas
Ronald Kozlicki,1968,1968,F,79,215,12-Dec-44,Northwestern University
Ronald Murray,2003,2010,G,76,190,29-Jul-79,Shaw University
Ronald Taylor,1970,1972,C,85,265,21-Nov-47,University of Southern California
Ronald Thomas,1973,1976,F,78,215,19-Nov-50,University of Louisville
